STABBR,EMP,AP,EST,POP20,REGION_ID,REGIONS,2022REALGDP,STPOP,ZCTAGDP
MA,687,41310,61,3134,22,ISONE,604357.7,7029917,269.42807885214006
MA,32143,1705807,1115,27987,22,ISONE,604357.7,7029917,2406.025412519095
MA,987,65890,157,3618,22,ISONE,604357.7,7029917,311.0372652479396
MA,8729,565839,895,29729,22,ISONE,604357.7,7029917,2555.7840957866215
MA,41,1342,4,100,22,ISONE,604357.7,7029917,8.596939337975114
MA,4534,387095,371,13785,22,ISONE,604357.7,7029917,1185.0880877398695
MA,5374,309339,424,13326,22,ISONE,604357.7,7029917,1145.6281361785636
MA,1075,72507,169,5395,22,ISONE,604357.7,7029917,463.8048772837574
MA,3476,179004,563,20462,22,ISONE,604357.7,7029917,1759.1057273364677
MA,3870,277347,367,9779,22,ISONE,604357.7,7029917,840.6946978605864
MA,9966,654685,770,18289,22,ISONE,604357.7,7029917,1572.2942355222683
MA,601,24034,89,3582,22,ISONE,604357.7,7029917,307.9423670862686
MA,2841,193509,293,9236,22,ISONE,604357.7,7029917,794.0133172553815
MA,20366,1264009,1502,54155,22,ISONE,604357.7,7029917,4655.672498480422
MA,511,28234,171,6992,22,ISONE,604357.7,7029917,601.0979985112199
MA,2747,192410,227,6161,22,ISONE,604357.7,7029917,529.6574326126467
MA,14979,1004874,1142,44451,22,ISONE,604357.7,7029917,3821.4255051233176
MA,947,51373,146,7618,22,ISONE,604357.7,7029917,654.9148387669442
MA,1743,135100,223,6569,22,ISONE,604357.7,7029917,564.7329451115852
MA,1411,45841,83,4979,22,ISONE,604357.7,7029917,428.0416096377809
MA,526,17010,74,4500,22,ISONE,604357.7,7029917,386.8622702088801
MA,6632,347123,442,16945,22,ISONE,604357.7,7029917,1456.751370819883
MA,25299,2249669,948,24370,22,ISONE,604357.7,7029917,2095.0741166645353
MA,2340,110216,286,8381,22,ISONE,604357.7,7029917,720.5094859156942
MA,14666,857992,949,25364,22,ISONE,604357.7,7029917,2180.5276936840078
MA,419,30230,117,5923,22,ISONE,604357.7,7029917,509.196716988266
MA,1914,126819,115,4853,22,ISONE,604357.7,7029917,417.2094660719323
MA,11457,952147,647,18618,22,ISONE,604357.7,7029917,1600.5781659442066
MA,14001,871240,857,33261,22,ISONE,604357.7,7029917,2859.4279932039026
MA,18555,1064657,931,24272,22,ISONE,604357.7,7029917,2086.6491161133195
MA,960,39226,173,10072,22,ISONE,604357.7,7029917,865.8837301208534
MA,22,727,4,371,22,ISONE,604357.7,7029917,31.89464494388767
MA,11294,864452,611,23860,22,ISONE,604357.7,7029917,2051.2297260408623
MA,4750,242473,560,25956,22,ISONE,604357.7,7029917,2231.4215745648203
MA,2352,112378,317,12799,22,ISONE,604357.7,7029917,1100.3222658674347
MA,2958,164300,338,13115,22,ISONE,604357.7,7029917,1127.4885941754362
MA,1325,61596,201,8460,22,ISONE,604357.7,7029917,727.3010679926946
MA,1718,115491,222,11662,22,ISONE,604357.7,7029917,1002.5750655946578
MA,10729,769968,606,11351,22,ISONE,604357.7,7029917,975.8385842535552
MA,24007,1752277,1221,31611,22,ISONE,604357.7,7029917,2717.578494127313
MA,2852,139516,378,18561,22,ISONE,604357.7,7029917,1595.6779105215608
MA,2728,175142,366,18553,22,ISONE,604357.7,7029917,1594.9901553745226
MA,106,7094,18,968,22,ISONE,604357.7,7029917,83.2183727915991
MA,13704,788196,927,29281,22,ISONE,604357.7,7029917,2517.269807552493
MA,7437,484983,610,20584,22,ISONE,604357.7,7029917,1769.5939933287973
MA,15379,1220457,491,16266,22,ISONE,604357.7,7029917,1398.378152715032
MA,5460,218286,452,12178,22,ISONE,604357.7,7029917,1046.9352725786093
MA,19121,2145528,1098,4228,22,ISONE,604357.7,7029917,363.4785952095878
MA,31451,4882589,1343,3921,22,ISONE,604357.7,7029917,337.0859914420042
MA,56983,11820330,1921,2921,22,ISONE,604357.7,7029917,251.11659806225308
MA,33435,4294446,991,9716,22,ISONE,604357.7,7029917,835.278626077662
MA,1805,90787,180,7126,22,ISONE,604357.7,7029917,612.6178972241065
MA,43455,4760537,751,14469,22,ISONE,604357.7,7029917,1243.8911528116193
MA,61776,4847639,720,31604,22,ISONE,604357.7,7029917,2716.9767083736547
MA,68925,10269115,1992,23408,22,ISONE,604357.7,7029917,2012.3715602332145
MA,20560,1402286,894,29073,22,ISONE,604357.7,7029917,2499.388173729505
MA,7319,581531,456,29175,22,ISONE,604357.7,7029917,2508.1570518542394
MA,3811,218842,176,17578,22,ISONE,604357.7,7029917,1511.1699968292653
MA,1876,86603,233,28766,22,ISONE,604357.7,7029917,2472.9955699619213
MA,7398,431302,547,24385,22,ISONE,604357.7,7029917,2096.3636575652313
MA,5991,234856,584,50972,22,ISONE,604357.7,7029917,4382.031919352675
MA,10387,752885,517,34926,22,ISONE,604357.7,7029917,3002.5670331811884
MA,1899,81688,242,22734,22,ISONE,604357.7,7029917,1954.4281890952623
MA,9465,770687,700,37939,22,ISONE,604357.7,7029917,3261.592815434378
MA,20398,1217494,853,43066,22,ISONE,604357.7,7029917,3702.357895292362
MA,12664,999317,503,19120,22,ISONE,604357.7,7029917,1643.7348014208417
MA,13852,965731,703,38284,22,ISONE,604357.7,7029917,3291.2522561503924
MA,5372,250446,455,30544,22,ISONE,604357.7,7029917,2625.849151391119
MA,5323,248980,493,27111,22,ISONE,604357.7,7029917,2330.716223918433
MA,8304,596490,539,21707,22,ISONE,604357.7,7029917,1866.1376220942577
MA,12837,915721,656,47232,22,ISONE,604357.7,7029917,4060.5063881124056
MA,5027,279347,465,35102,22,ISONE,604357.7,7029917,3017.6976464160243
